,points
-41,11
-41,1
-41,1
-41,1
-41,4
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,4
-41,1
-41,3
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,5
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,11
-41,1
-41,2
-41,1
-41,9
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,12
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-40,1
-40,1
-40,1
-40,5
-40,1
-40,3
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,2
-40,1
-40,1
-40,1
-40,1
-40,4
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,2
-40,4
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,5
-40,7
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,4
-40,2
-40,1
-40,2
-40,1
-40,13
-40,1
-40,1
-40,1
-40,2
-40,1
-40,1
-40,1
-40,1
-40,1
-40,3
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,3
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,2
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,2
-40,1
-40,1
-40,1
-40,2
-40,1
-40,1
-40,4
-40,1
-40,1
-40,1
-40,1
-40,4
-40,1
-40,1
-40,19
-40,1
-40,1
-40,2
-40,1
-40,1
-40,6
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,2
-40,3
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,2
-40,3
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,1
-40,4
-40,1
-40,1
-40,1
-40,1
-40,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,11
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,8
-39,1
-39,1
-39,1
-39,1
-39,1
-39,2
-39,1
-39,1
-39,7
-39,23
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,5
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,4
-39,1
-39,1
-39,1
-39,1
-39,4
-39,2
-39,10
-39,2
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,9
-39,1
-39,1
-39,5
-39,1
-39,1
-39,1
-39,1
-39,3
-39,1
-39,6
-39,1
-39,1
-39,1
-39,1
-39,1
-39,1
-39,4
-39,1
-39,1
-39,4
-39,1
-39,1
-39,1
-39,5
-39,1
-39,1
