file_name,AUC,TSS
"Nomada_lehighensis_Cockerell,_1903_performance",0.989453514,0.94269431
"Willinkapis_chalybaea_(Friese,_1906)_performance",0.989436923,0.95286
"Lasioglossum_mediopolitum_(Cockerell,_1914)_performance",0.989363325,0.912625797
"Megachile_pictiventris_Smith,_1879_performance",0.989323333,0.96952
"Lonchopria_similis_(Friese,_1906)_performance",0.989213,0.91628
"Sphecodes_townesi_Mitchell,_1956_performance",0.989188352,0.95852
"Liphanthus_alicahue_Ruz_and_Toro,_1983_performance",0.989181429,0.941014286
"Palaeorhiza_parallela_(Cockerell,_1905)_performance",0.989110654,0.97504
"Euglossa_stilbonota_Dressler,_1982_performance",0.989078095,0.95782
"Bombus_ignitus_Smith,_1869_performance",0.989036452,0.958056774
"Callistochlora_prothysteres_(Vachal,_1904)_performance",0.989,0.97722
"Nomada_valida_Smith,_1854_performance",0.988981176,0.917445882
"Allodape_tridentipes_Cockerell,_1933_performance",0.988968974,0.96426
"Lasioglossum_subplebeium_(Cockerell,_1930)_performance",0.988937179,0.97836
"Andrena_orbitalis_Morawitz,_1871_performance",0.988936405,0.95014
"Meganomia_binghami_(Cockerell,_1909)_performance",0.988852857,0.932268571
"Ceratina_flavipes_Smith,_1879_performance",0.988813636,0.961999865
"Partamona_pearsoni_(Schwarz,_1938)_performance",0.988706316,0.94296
"Andrena_kalmiae_Atwood,_1934_performance",0.98868125,0.91484
"Panurginus_gracilis_Michener,_1935_performance",0.988590476,0.93652
"Partamona_seridoensis_Pedro_and_Camargo,_2003_performance",0.988549667,0.95286
"Andrena_lewisorum_Thorp,_1969_performance",0.988548132,0.95564
"Megachile_spissula_Cockerell,_1911_performance",0.988533333,0.9456
"Macropis_ciliata_Patton,_1880_performance",0.988520148,0.89960069
"Megachile_sicula_(Rossi,_1794)_performance",0.988324459,0.939803787
"Euglossa_asarophora_Moure_and_Sakagami,_1969_performance",0.988295842,0.9569
"Lasioglossum_bremerense_(Rayment,_1931)_performance",0.988288791,0.924278242
"Lasioglossum_sibiriacum_(Blüthgen,_1923)_performance",0.988265577,0.92474
